TokenID,FullText,Target,run_id,provider,model_name,feature_name_x,annotation,confidence,explanation,feature_name_y
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,The verb 'had been promised' entails a change of social/legal status (being promised) that remains in effect at the reference time.,DtExp
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'commanded' does not entail a change of state or location, a change of possession or social/legal status, or a transition into a new physical location, and the clause does not contain a duration adverbial.",DtExp
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'has come near' entails a transition into a new physical location, and the subject remains at that location at the reference time.",DtExp
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'have approved' does not entail a change of state or location, a change of possession or social/legal status, or a transition into a new physical location, and the clause does not contain a duration adverbial.",DtExp
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'had been arrested' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",DtExp
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'have heard' does not entail a change of state or location, a change of possession or social/legal status, or a transition into a new physical location.",DtExp
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'have heard' does not entail a change of state or location, a change of possession or social/legal status, or a transition into a new physical location, and the clause does not contain a duration adverbial.",DtExp
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'have heard' does not entail a change of state or location, a change of possession or social/legal status, or a transition into a new physical location, and the clause does not contain a duration adverbial.",DtExp
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'have been paid' entails a change of possession that remains in effect at the reference time, so the feature DtExp is not instantiated.",DtExp
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'have been paid' entails a change of possession that remains in effect at the reference time, so the annotation is 0.",DtExp
40006016,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'have received' entails a change of possession that remains in effect at the reference time, so the annotation is 0.",DtExp
40007028,"When Jesus had finished these words , the crowds were astonished at what he taught .",had finished,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'had finished' entails a completed action, not a continuing state or location.",DtExp
40008010,"When Jesus heard it , he was amazed , and said to the crowd : » I tell you , I have not found such great faith in Israel .",have not found,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'find' does not entail a change of state or location, a change of possession or social/legal status, or a transition into a new physical location, and there is no duration adverbial.",DtExp
40008029,"They screamed at him , saying : » What have we to do with you , Son of God ? Have you come to torment us before the time ? «",have you come,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'come' entails a transition into a new physical location, and the subject remains at that location at the reference time, thus the annotation is 0.",DtExp
40009008,"But when the people saw it , they marveled , and glorified God who had given such authority to men .",had given,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'had given' entails a change of possession, and that resulting state remains in effect at the reference time, so the annotation is 0.",DtExp
40009016,» Why patch an old garment with cloth that has not been shrunk ? The patch shrinks and pulls away from the old cloth leaving a big hole .,has not been shrunk,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'shrunk' entails a change of state, and the resulting state (not being shrunk) holds at the reference time.",DtExp
40009022,"Jesus turned to see her and said : » Daughter , take courage ; your faith has made you well . « The woman was healed at that time .",has made you well,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'has made' entails a change of state (from unwell to well), and that resulting state holds at the reference time.",DtExp
40009033,"When the demon was cast out , the dumb man spoke . The crowd marveled , saying : » We have never seen anything like this in Israel ! «",have never seen,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The clause does not describe a change of state, possession, location, or contain a duration adverbial.",DtExp
40010023,"» When they persecute you in this city , flee to the next . I tell you ; before you have gone through all the cities of Israel the Son of man will come .",have gone through,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'have gone through' does not entail a change of state or location, a change of possession or social/legal status, or a transition into a new physical location that remains in effect at the reference time.",DtExp
40011012a,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",has been,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The clause contains a duration adverbial ('From the days of John the Baptist until now'), indicating a continuing situation rather than a completed life experience, thus the feature DtExp is not instantiated.",DtExp
40011012b,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",have attempted,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'have attempted' does not entail a change of state or location, a change of possession or social/legal status, or a transition into a new physical location, and the clause does not contain a duration adverbial.",DtExp
40011021a,"» Woe to you , Chorazin ! Woe to you , Bethsaida ! If the mighty works had been done in Tyre and Sidon that were done in you , they would have repented long ago in sackcloth and ashes .",had been done,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'had been done' does not entail a change of state or location that holds at the reference time, nor a change of possession or social/legal status that remains in effect at the reference time, nor a transition into a new physical location where the subject remains.",DtExp
40011021b,"» Woe to you , Chorazin ! Woe to you , Bethsaida ! If the mighty works had been done in Tyre and Sidon that were done in you , they would have repented long ago in sackcloth and ashes .",would have repented,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The clause does not describe a completed life experience, but rather a hypothetical situation, and the verb 'repented' does not entail a change of state or location that holds at the reference time.",DtExp
40011023a,"» Will you , Capernaum , be exalted into heaven ? You will go down into the grave . If the mighty works had been done in Sodom , which were done in you , it would have remained until this day .",had been done,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'had been done' does not entail a change of state or location, a change of possession or social/legal status, or a transition into a new physical location.",DtExp
40011023b,"» Will you , Capernaum , be exalted into heaven ? You will go down into the grave . If the mighty works had been done in Sodom , which were done in you , it would have remained until this day .",would have remained,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'remained' entails a transition into a new physical location, and the subject remains at that location at the reference time, so the annotation is 0.",DtExp
40011025a,"Then Jesus prayed : » I thank you , O Father , Lord of heaven and earth . You have hidden these things from the wise and understanding , and have revealed them to children .",have hidden,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'have hidden' does not entail a change of state or location that holds at the reference time, nor a change of possession or social/legal status that remains in effect at the reference time, nor a transition into a new physical location where the subject remains.",DtExp
40011025b,"Then Jesus prayed : » I thank you , O Father , Lord of heaven and earth . You have hidden these things from the wise and understanding , and have revealed them to children .",have revealed,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'have revealed' does not entail a change of state or location that holds at the reference time, nor a change of possession or social/legal status, nor a transition into a new physical location, and the clause does not contain a duration adverbial.",DtExp
40011027,"» All things have been delivered to me from my Father . Only the Father knows the Son , and only the Son knows the Father . The Son tells others about the Father so that they can know him too .",have been delievered,20260227T175322Z_2ce16afb,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'have been delivered' entails a change of possession, and that resulting state remains in effect at the reference time.",DtExp
